Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
10,Dr,Driver,06/14/2024 01:48:06,136.5,-1.4,17.6,4442,537,4474,203.7,218.5,9.8,41.3,48.9,,,,,,,,,,,
11,Dr,Driver,06/14/2024 01:48:38,129.7,-5.2,14.4,5035,386,5050,191.0,205.2,-9.8,32.3,44.9,,,,,,,,,,,
12,Dr,Driver,06/14/2024 01:49:10,132.0,-2.7,20.4,5137,1197,5275,187.9,200.9,17.5,43.6,51.2,,,,,,,,,,,
13,Dr,Driver,06/14/2024 01:49:58,138.7,-3.3,23.4,2789,244,2800,227.9,246.0,-2.6,54.4,51.0,,,,,,,,,,,
14,Dr,Driver,06/14/2024 01:50:33,125.3,-1.4,23.3,3225,1075,3399,193.3,209.9,29.5,43.8,50.1,,,,,,,,,,,
15,Dr,Driver,06/14/2024 01:51:10,127.5,-0.1,23.8,2113,396,2150,215.4,236.0,20.0,44.7,47.0,,,,,,,,,,,
16,Dr,Driver,06/14/2024 01:51:33,129.7,-8.7,18.0,3096,-902,3225,204.8,211.2,-60.4,36.0,44.9,,,,,,,,,,,
17,Dr,Driver,06/14/2024 01:52:06,134.2,-7.2,16.7,3196,-157,3200,216.8,235.1,-35.8,37.5,44.9,,,,,,,,,,,
18,Dr,Driver,06/14/2024 01:52:38,136.5,-5.8,20.0,3974,-43,3974,208.2,223.5,-24.0,46.3,50.4,,,,,,,,,,,
19,Dr,Driver,06/14/2024 01:53:51,134.2,-3.1,24.1,2370,142,2374,225.1,245.0,-6.0,51.1,49.7,,,,,,,,,,,
20,Dr,Driver,06/14/2024 01:54:19,140.9,-4.2,20.9,2638,245,2649,237.3,256.8,-6.4,49.9,48.8,,,,,,,,,,,
21,Dr,Driver,06/14/2024 01:54:56,132.0,-4.5,23.8,3120,428,3149,206.7,223.5,-1.3,49.7,51.2,,,,,,,,,,,
22,Dr,Driver,06/14/2024 01:55:27,127.5,4.2,30.5,2256,657,2350,204.8,223.0,46.9,58.8,54.1,,,,,,,,,,,
23,Dr,Driver,06/14/2024 01:55:55,134.2,-1.9,26.2,2528,332,2550,218.4,237.2,8.0,55.8,52.1,,,,,,,,,,,
24,Dr,Driver,06/14/2024 01:56:35,136.5,-7.0,18.6,3042,-216,3050,219.8,238.2,-38.0,41.6,46.4,,,,,,,,,,,
25,Dr,Driver,06/14/2024 01:57:19,127.5,-4.1,25.6,3076,-878,3199,196.3,213.0,-45.7,49.3,52.0,,,,,,,,,,,
