Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
16,Dr,Driver,06/14/2024 01:51:33,129.7,-8.7,18,3096,-902,3225,204.8,211.2,-60.4,36,44.9,,,,,,,,,,,
17,Dr,Driver,06/14/2024 01:52:06,134.2,-7.2,16.7,3196,-157,3200,216.8,235.1,-35.8,37.5,44.9,,,,,,,,,,,
18,Dr,Driver,06/14/2024 01:52:38,136.5,-5.8,20,3974,-43,3974,208.2,223.5,-24,46.3,50.4,,,,,,,,,,,
19,Dr,Driver,06/14/2024 01:53:51,134.2,-3.1,24.1,2370,142,2374,225.1,245,-6,51.1,49.7,,,,,,,,,,,
20,Dr,Driver,06/14/2024 01:54:19,140.9,-4.2,20.9,2638,245,2649,237.3,256.8,-6.4,49.9,48.8,,,,,,,,,,,
21,Dr,Driver,06/14/2024 01:54:56,132,-4.5,23.8,3120,428,3149,206.7,223.5,-1.3,49.7,51.2,,,,,,,,,,,
22,Dr,Driver,06/14/2024 01:55:27,127.5,4.2,30.5,2256,657,2350,204.8,223,46.9,58.8,54.1,,,,,,,,,,,
23,Dr,Driver,06/14/2024 01:55:55,134.2,-1.9,26.2,2528,332,2550,218.4,237.2,8,55.8,52.1,,,,,,,,,,,
24,Dr,Driver,06/14/2024 01:56:35,136.5,-7,18.6,3042,-216,3050,219.8,238.2,-38,41.6,46.4,,,,,,,,,,,
25,Dr,Driver,06/14/2024 01:57:19,127.5,-4.1,25.6,3076,-878,3199,196.3,213,-45.7,49.3,52,,,,,,,,,,,
26,Dr,Driver,06/14/2024 01:57:38,138.7,-1.3,18.1,3649,-79,3650,215.7,231.9,-7.9,43,48.3,,,,,,,,,,,
27,Dr,Driver,06/14/2024 01:58:08,127.5,-4.1,20.4,3495,1425,3774,192.8,208.8,26.9,38.8,48.1,,,,,,,,,,,
28,Dr,Driver,06/14/2024 01:59:21,129.7,-0.8,21.8,2641,423,2675,211.5,230.1,15,43.1,47.5,,,,,,,,,,,
29,Dr,Driver,06/14/2024 01:59:53,136.5,-1,23.2,3524,76,3525,212.6,229,1.1,53.7,52.4,,,,,,,,,,,
30,Dr,Driver,06/14/2024 02:00:22,136.5,-5,19.3,2367,390,2399,233.5,254.1,-1.7,42.1,45.2,,,,,,,,,,,
31,Dr,Driver,06/14/2024 02:00:51,125.3,-4.3,25.6,3696,-161,3700,186.6,202,-20.2,48.6,52.5,,,,,,,,,,,
32,Dr,Driver,06/14/2024 02:01:24,140.9,-6.9,16.6,4306,-400,4325,212.5,227.9,-39.9,41.9,48.6,,,,,,,,,,,
33,Dr,Driver,06/14/2024 02:01:51,127.5,5,32.2,1707,645,1825,213.8,230.6,56.2,60.6,53.8,,,,,,,,,,,
34,Dr,Driver,06/14/2024 02:02:12,129.7,2.9,29.6,2466,646,2549,206.6,224.3,40.3,59.2,54.2,,,,,,,,,,,
35,Dr,Driver,06/14/2024 02:02:36,136.5,-6.5,24.2,2574,70,2575,228.4,247.7,-24.8,54.7,51,,,,,,,,,,,
36,Dr,Driver,06/14/2024 02:03:27,134.2,-3.7,23.7,2235,420,2274,228.9,249.2,6.4,50.1,49,,,,,,,,,,,
37,Dr,Driver,06/14/2024 02:03:52,140.9,-7.9,19.6,3280,-359,3300,223.7,241.1,-47.8,47.1,49.3,,,,,,,,,,,
