Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
59,Dr,Driver,6/2/2024 7:23,129.7,-0.5,18.6,3105,1770,3574,195.7,213.1,50.6,33.9,44.8,83.67741935,82.00387097,,6.6,-0.6,-0.5,10.5,37.58673863
60,Dr,Driver,6/2/2024 7:25,140.9,1,20.1,2433,280,2449,242,262.6,17.9,46.9,47,90.90322581,89.08516129,,8.1,1.2,1,10.5,19.25479063
61,Dr,Driver,6/2/2024 7:26,129.7,2.9,20.5,3294,1023,3449,201.1,218.3,43.4,40.4,47.9,83.67741935,82.00387097,,8.5,3.48,2.9,10.5,33.2845027
62,Dr,Driver,6/2/2024 7:26,138.7,1.9,22,1747,430,1799,248.5,272.1,36.2,45.8,44.9,89.48387097,87.69419355,,10,2.28,1.9,10.5,15.69574621
63,Dr,Driver,6/2/2024 7:27,138.7,-3.2,7.1,3119,2035,3724,185.7,207.5,38.1,13.3,25.2,89.48387097,87.69419355,,-4.9,-3.84,-3.2,10.5,37.1593367
64,Dr,Driver,6/2/2024 7:28,132,-2.4,18.5,3195,438,3225,212.2,231.2,5.2,39.5,46.2,85.16129032,83.45806452,,6.5,-2.88,-2.4,10.5,27.52272727
65,Dr,Driver,6/2/2024 7:29,125.3,1.7,24.5,1886,663,1999,210.4,231.7,39,42.3,46.2,80.83870968,79.22193548,,12.5,2.04,1.7,10.5,20.34317638
66,Dr,Driver,6/2/2024 7:29,127.5,-0.2,22.9,2946,964,3100,202.3,219.8,33.1,44.2,49.3,82.25806452,80.61290323,,10.9,-0.24,-0.2,10.5,30.66666667
67,Dr,Driver,6/2/2024 7:30,136.5,-5.5,10.1,4095,1465,4349,198.3,212.1,15.3,23.2,36.9,88.06451613,86.30322581,,-1.9,-6.6,-5.5,10.5,40.73260073
68,Dr,Driver,6/2/2024 7:30,132,-9.4,6.5,2364,731,2474,183,209.6,-12.7,10.2,19.2,85.16129032,83.45806452,,-5.5,-11.28,-9.4,10.5,23.4469697
69,3w,FW,6/2/2024 7:32,134.2,4,18.7,3415,1547,3749,206.2,212.4,58.4,39,47.4,92.55172414,90.70068966,,11.7,4.8,4,15,36.97466468
70,3w,FW,6/2/2024 7:33,134.2,5.5,23.3,2614,1133,2849,217.5,225.1,65.5,48.3,50.1,92.55172414,90.70068966,,16.3,6.6,5.5,15,27.92101341
71,3w,FW,6/2/2024 7:33,132,1.5,25.4,1856,510,1925,227.5,248.8,34.8,49.5,48.2,91.03448276,89.2137931,,18.4,1.8,1.5,15,17.92424242
72,3w,FW,6/2/2024 7:35,132,-2.8,13.1,2811,279,2825,211.2,231.1,-2.2,26.4,36.9,91.03448276,89.2137931,,6.1,-3.36,-2.8,15,23.40909091
73,3w,FW,6/2/2024 7:36,138.7,-2.9,9.5,2147,-342,2174,217.6,243.1,-29.7,17.8,26.8,95.65517241,93.74206897,,2.5,-3.48,-2.9,15,13.01369863
