Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
40,3w,FW,5/31/2024 0:06,132,1.9,8.2,3122,1141,3324,188.4,208.5,41.8,15.7,28.4,91.03448276,89.2137931,,1.2,2.28,1.9,15,32.29545455
41,3w,FW,5/31/2024 0:07,134.2,-1.3,15.8,2699,-44,2699,219.8,239.9,-4.7,33.5,41.5,92.55172414,90.70068966,,8.8,-1.56,-1.3,15,19.78390462
42,5w,FW,5/31/2024 0:08,129.7,0.9,18.6,5522,1192,5649,184,196.8,30.3,39.9,50.2,89.44827586,87.65931034,,11.6,1.08,0.9,19,51.76561295
43,5w,FW,5/31/2024 0:09,120.8,1.7,22.8,4779,444,4800,172.8,186,17.5,41.2,51,83.31034483,81.64413793,,15.8,2.04,1.7,19,43.23675497
44,Dr,Driver,5/31/2024 0:10,143.2,-4.3,16.6,2868,-188,2874,237,257.5,-25.4,41.3,45.4,92.38709677,90.53935484,,4.6,-5.16,-4.3,10.5,18.7150838
45,Dr,Driver,5/31/2024 0:12,134.2,-4.1,16.5,4497,1526,4749,197.2,211.7,26.9,36.9,47.7,86.58064516,84.84903226,,4.5,-4.92,-4.1,10.5,44.88077496
46,Dr,Driver,5/31/2024 0:13,132,-4.8,16,2335,-739,2449,215.6,236,-49.7,30.6,39.4,85.16129032,83.45806452,,4,-5.76,-4.8,10.5,12.09090909
47,Dr,Driver,5/31/2024 0:13,136.5,2.3,16.4,4728,1184,4874,198.2,212.7,41.6,38.2,48.2,88.06451613,86.30322581,,4.4,2.76,2.3,10.5,43.31135531
48,Dr,Driver,5/31/2024 0:14,143.2,-0.3,16.4,4401,654,4449,214.1,229.3,22.1,42.7,49.1,92.38709677,90.53935484,,4.4,-0.36,-0.3,10.5,35.30027933
49,Dr,Driver,5/31/2024 0:15,129.7,-2.9,17.7,6328,3163,7074,172.5,183.8,42.6,35.1,49.7,83.67741935,82.00387097,,5.7,-3.48,-2.9,10.5,73.1765613
50,Dr,Driver,5/31/2024 0:15,145.4,-2.1,16.4,2311,-1077,2550,238,254.8,-58.7,36.6,42.4,93.80645161,91.93032258,,4.4,-2.52,-2.1,10.5,8.4869326
51,Dr,Driver,5/31/2024 0:16,138.7,-1.5,8.7,4398,1793,4749,193.2,208.9,39.6,21,35.7,89.48387097,87.69419355,,-3.3,-1.8,-1.5,10.5,44.63590483
52,Dr,Driver,5/31/2024 0:17,136.5,0.1,20.4,4773,1649,5050,196.4,210,44.4,46.5,52.3,88.06451613,86.30322581,,8.4,0.12,0.1,10.5,47.04761905
53,5h,Hybrid,5/31/2024 0:18,118.6,10.1,27.7,1580,252,1600,201.5,219.3,54.7,43.8,46.9,94.88,92.9824,,22.7,12.12,10.1,27,15.44688027
54,5h,Hybrid,5/31/2024 0:18,116.3,2.1,18,2968,-2490,3874,160.9,177.6,-43.4,23.6,39.3,93.04,91.1792,,13,2.52,2.1,27,4.110060189
55,5w,FW,5/31/2024 0:21,136.5,-3,15.4,5073,-110,5074,200.9,214.8,-11.5,38.5,48.2,94.13793103,92.25517241,,8.4,-3.6,-3,19,36.35897436
56,5w,FW,5/31/2024 0:22,134.2,1,20,5551,516,5575,190.6,203.1,18,46.2,52.2,92.55172414,90.70068966,,13,1.2,1,19,45.20864382
57,Dr,Driver,5/31/2024 0:23,127.5,-6.2,14.2,1891,-1074,2175,193.3,202.1,-55.8,20.9,31.4,82.25806452,80.61290323,,2.2,-7.44,-6.2,10.5,6.407843137
58,Dr,Driver,5/31/2024 0:23,134.2,-1,17.6,4916,1259,5075,195.4,209.1,29.8,40.3,49.6,86.58064516,84.84903226,,5.6,-1.2,-1,10.5,46.01341282
59,Dr,Driver,5/31/2024 0:24,143.2,0.3,17.7,3548,-97,3549,225,242.2,0.6,45.2,48.7,92.38709677,90.53935484,,5.7,0.36,0.3,10.5,24.09916201
60,Dr,Driver,5/31/2024 0:26,140.9,-0.1,16.2,2214,-988,2424,231.8,253.8,-46.9,33.9,40.7,90.90322581,89.08516129,,4.2,-0.12,-0.1,10.5,8.701206529
61,Dr,Driver,5/31/2024 0:27,143.2,0.4,17.4,3671,-160,3674,223.6,240.7,-1.3,44.6,48.7,92.38709677,90.53935484,,5.4,0.48,0.4,10.5,24.51815642
62,Dr,Driver,5/31/2024 0:28,140.9,3.8,11.4,6018,2454,6499,193,197.4,58.7,30.2,45.1,90.90322581,89.08516129,,-0.6,4.56,3.8,10.5,60.12775018
63,Dr,Driver,5/31/2024 0:28,138.7,-10,7,2865,586,2924,204.5,226.6,-16.2,15.4,26.6,89.48387097,87.69419355,,-5,-12,-10,10.5,24.88103821
64,Dr,Driver,5/31/2024 0:29,143.2,1.4,17.8,5091,585,5125,207.4,221.1,24,46.7,51.4,92.38709677,90.53935484,,5.8,1.68,1.4,10.5,39.63687151
65,Dr,Driver,5/31/2024 0:30,134.2,-2.2,5.2,2805,735,2900,184.6,208.4,16.4,10.2,20.2,86.58064516,84.84903226,,-6.8,-2.64,-2.2,10.5,26.37853949
66,Dr,Driver,5/31/2024 0:31,140.9,-3,15.1,1594,-1759,2374,206,215.6,-70,23.1,32.8,90.90322581,89.08516129,,3.1,-3.6,-3,10.5,-1.171043293
67,Dr,Driver,5/31/2024 0:32,138.7,1,16.8,3874,-22,3874,216.2,229.6,6.2,41.8,48,89.48387097,87.69419355,,4.8,1.2,1,10.5,27.77217015
68,Dr,Driver,5/31/2024 0:33,136.5,2.4,17.6,3110,636,3174,218.5,236.1,38,39.8,46.2,88.06451613,86.30322581,,5.6,2.88,2.4,10.5,27.44322344
69,Dr,Driver,5/31/2024 0:34,143.2,-3.8,14.5,2679,-893,2824,229.8,250.3,-53.6,33.1,41.1,92.38709677,90.53935484,,2.5,-4.56,-3.8,10.5,12.47206704
70,Dr,Driver,5/31/2024 0:34,136.5,-5.1,10.4,3173,-906,3300,208.6,227.9,-48.3,23.1,35.2,88.06451613,86.30322581,,-1.6,-6.12,-5.1,10.5,16.60805861
71,Dr,Driver,5/31/2024 0:35,138.7,4.2,17.7,5502,1834,5800,196,200.5,54.6,42.9,51.3,89.48387097,87.69419355,,5.7,5.04,4.2,10.5,52.89113194
72,Dr,Driver,5/31/2024 0:36,140.9,2.3,16.5,5238,806,5300,205.3,218.1,32.4,43.3,50.3,90.90322581,89.08516129,,4.5,2.76,2.3,10.5,42.89567069
73,Dr,Driver,5/31/2024 0:36,138.7,-2.5,15.6,3516,483,3549,215.9,233.1,10.2,36.9,45,89.48387097,87.69419355,,3.6,-3,-2.5,10.5,28.83201154
74,Dr,Driver,5/31/2024 0:36,140.9,3.8,19,5905,1968,6224,194,198.4,53.8,46.6,53,90.90322581,89.08516129,,7,4.56,3.8,10.5,55.87650816
75,Dr,Driver,5/31/2024 0:37,140.9,-2.9,17.8,3994,218,4000,216.6,232.7,1.3,45,49.5,90.90322581,89.08516129,,5.8,-3.48,-2.9,10.5,29.89354152
76,Dr,Driver,5/31/2024 0:38,138.7,-0.8,18.7,5303,1457,5500,196,209,33.8,44.6,51.7,89.48387097,87.69419355,,6.7,-0.96,-0.8,10.5,48.73828407
77,Dr,Driver,5/31/2024 0:38,143.2,3.9,20.2,4642,1002,4749,210.3,224.7,47.7,51.9,53,92.38709677,90.53935484,,8.2,4.68,3.9,10.5,39.41340782
78,3w,FW,5/31/2024 0:40,143.2,-0.4,12.4,3123,-1064,3299,222.5,241.6,-39.8,29.8,40.1,98.75862069,96.78344828,,5.4,-0.48,-0.4,15,14.37849162
79,3w,FW,5/31/2024 0:40,134.2,6.8,21,3611,680,3674,208.2,224.4,52.7,47,50.6,92.55172414,90.70068966,,14,8.16,6.8,15,31.97466468
80,3w,FW,5/31/2024 0:41,129.7,-0.2,17.7,1710,-1129,2049,208,232.2,-50.7,28.2,36.9,89.44827586,87.65931034,,10.7,-0.24,-0.2,15,4.479568234
81,5h,Hybrid,5/31/2024 0:42,118.6,1.1,22.5,5865,837,5924,163.1,174.8,19.6,39.4,51.3,94.88,92.9824,,17.5,1.32,1.1,27,56.50927487
82,5h,Hybrid,5/31/2024 0:42,114.1,6.5,21.5,4204,414,4224,167.4,181.6,32.3,34.6,47.7,91.28,89.4544,,16.5,7.8,6.5,27,40.47326906
83,5h,Hybrid,5/31/2024 0:43,123,1.4,20.8,4392,978,4500,181,195.5,30.9,39.2,49.5,98.4,96.432,,15.8,1.68,1.4,27,43.65853659
84,4h,Hybrid,5/31/2024 0:46,118.6,5,20,3831,-377,3850,178.1,193.6,9.9,34.6,46.5,87.85185185,86.09481481,,15,6,5,22,29.12310287
85,4h,Hybrid,5/31/2024 0:46,123,-0.5,16.3,2160,-1741,2774,176.8,194.4,-49.8,22.2,35.2,91.11111111,89.28888889,,11.3,-0.6,-0.5,22,3.406504065
86,4h,Hybrid,5/31/2024 0:47,129.7,3.1,14.6,6092,-299,6099,181.6,194,7.4,32.6,46.6,96.07407407,94.15259259,,9.6,3.72,3.1,22,44.66461064
87,4h,Hybrid,5/31/2024 0:48,111.8,4.1,18.9,4129,-1106,4275,159.7,173.4,-6.8,27.6,43.5,82.81481481,81.15851852,,13.9,4.92,4.1,22,27.03935599
88,Dr,Driver,5/31/2024 0:49,143.2,2.9,18.6,4530,1428,4750,210.7,222.6,54.6,47.3,51.4,92.38709677,90.53935484,,6.6,3.48,2.9,10.5,41.60614525
89,Dr,Driver,5/31/2024 0:49,136.5,0.8,20.7,4522,148,4524,200.7,215.1,10.1,48.1,51.9,88.06451613,86.30322581,,8.7,0.96,0.8,10.5,34.21245421
90,Dr,Driver,5/31/2024 0:50,138.7,0.3,18.7,4198,930,4300,209.5,224.5,32.9,45.4,50.4,89.48387097,87.69419355,,6.7,0.36,0.3,10.5,36.97188176
91,Dr,Driver,5/31/2024 0:50,140.9,-4.2,15.4,1810,-849,1999,234,250.6,-59.4,29.3,36.1,90.90322581,89.08516129,,3.4,-5.04,-4.2,10.5,6.820440028
92,Dr,Driver,5/31/2024 0:50,140.9,2,20.4,6611,2654,7124,188.3,192.1,54.3,49.4,54.8,90.90322581,89.08516129,,8.4,2.4,2,10.5,65.75585522
93,Dr,Driver,5/31/2024 0:51,136.5,0.9,18.4,6176,2324,6599,186.6,198.2,49.5,42.5,52.1,88.06451613,86.30322581,,6.4,1.08,0.9,10.5,62.27106227
94,Dr,Driver,5/31/2024 0:51,132,-2.1,16.5,5652,2486,6175,180,192.4,41,34.1,48.1,85.16129032,83.45806452,,4.5,-2.52,-2.1,10.5,61.65151515
95,Dr,Driver,5/31/2024 0:53,138.7,0.8,18.4,4182,1194,4349,206.3,221.3,41.6,43.3,49.6,89.48387097,87.69419355,,6.4,0.96,0.8,10.5,38.75991348
96,3w,FW,5/31/2024 0:54,138.7,3.2,19.9,4213,1079,4349,207.6,222.5,47.8,47.5,51.2,95.65517241,93.74206897,,12.9,3.84,3.2,15,38.15428983
97,3w,FW,5/31/2024 0:55,136.5,-0.6,16,4324,47,4324,205.3,220.8,1.7,38.3,47.2,94.13793103,92.25517241,,9,-0.72,-0.6,15,32.02197802
98,3w,FW,5/31/2024 0:56,132,-3.9,14.5,1285,-1498,1974,186.3,196.8,-59.2,17.9,27.5,91.03448276,89.2137931,,7.5,-4.68,-3.9,15,-1.613636364
99,4h,Hybrid,5/31/2024 0:57,125.3,-1.5,6.9,3904,-600,3950,172.5,190.7,-15.9,13.5,26.9,92.81481481,90.95851852,,1.9,-1.8,-1.5,22,26.36871508
100,4h,Hybrid,5/31/2024 0:58,118.6,6.1,24,5045,-220,5050,168,180.7,17.3,42.3,51.9,87.85185185,86.09481481,,19,7.32,6.1,22,40.68296796
101,5h,Hybrid,5/31/2024 0:59,111.8,-2.3,18.7,2236,-721,2349,173.5,193.7,-29.4,25,37.7,82.81481481,81.15851852,,13.7,-2.76,-2.3,25,13.5509839
102,5h,Hybrid,5/31/2024 0:59,111.8,1.1,19.2,2789,-444,2824,170.7,189.3,-6.9,27.2,40.6,82.81481481,81.15851852,,14.2,1.32,1.1,25,20.97495528
103,5h,Hybrid,5/31/2024 0:59,107.4,3,20.3,2836,468,2874,163.1,180.4,24.3,26.9,41.2,79.55555556,77.96444444,,15.3,3.6,3,25,30.76350093
104,5h,Hybrid,5/31/2024 1:00,116.3,-7.2,11,4111,727,4175,163.5,179.6,-6,17.5,33.1,86.14814815,84.42518519,,6,-8.64,-7.2,25,41.59931212
105,5h,Hybrid,5/31/2024 1:00,111.8,-1.8,30.2,5112,-1078,5224,150,161.5,-21.1,46.3,55.3,82.81481481,81.15851852,,25.2,-2.16,-1.8,25,36.0822898
106,Dr,Driver,5/31/2024 1:01,143.2,3,18.2,3984,348,3999,220.6,236.1,27.8,47.4,50,92.38709677,90.53935484,,6.2,3.6,3,10.5,30.25139665
107,Dr,Driver,5/31/2024 1:01,138.7,-1.6,19.4,4170,1146,4325,205.9,220.7,31.1,45.5,50.5,89.48387097,87.69419355,,7.4,-1.92,-1.6,10.5,38.32732516
108,Dr,Driver,5/31/2024 1:02,143.2,3.4,19.1,6180,1662,6400,196.3,208,50.2,49,53.6,92.38709677,90.53935484,,7.1,4.08,3.4,10.5,54.76256983
109,Dr,Driver,5/31/2024 1:02,138.7,3.9,20.5,5797,1897,6099,192.1,196.3,53,48.7,53.8,89.48387097,87.69419355,,8.5,4.68,3.9,10.5,55.47224225
110,Dr,Driver,5/31/2024 1:03,132,1,13.6,5978,2065,6325,180.4,193.4,43.1,29.9,45.3,85.16129032,83.45806452,,1.6,1.2,1,10.5,60.93181818
111,Dr,Driver,5/31/2024 1:04,143.2,1.7,18.7,5417,593,5449,204.5,217.4,24.5,49.2,52.6,92.38709677,90.53935484,,6.7,2.04,1.7,10.5,41.96927374
112,Dr,Driver,5/31/2024 1:05,127.5,-2.3,15.4,6059,2280,6474,175.5,187.6,33.8,31.6,46.8,82.25806452,80.61290323,,3.4,-2.76,-2.3,10.5,65.40392157
113,Dr,Driver,5/31/2024 1:05,127.5,1.9,21.4,4831,1552,5074,181.9,195.1,43.2,42.5,51.5,82.25806452,80.61290323,,9.4,2.28,1.9,10.5,50.0627451
114,Dr,Driver,5/31/2024 1:05,120.8,-8.4,16.2,1895,-713,2025,193,201.7,-52.8,23.8,34.1,77.93548387,76.37677419,,4.2,-10.08,-8.4,10.5,9.784768212
115,Dr,Driver,5/31/2024 1:06,136.5,1.5,20.5,5093,1045,5199,193.9,207,33.4,46.9,52.4,88.06451613,86.30322581,,8.5,1.8,1.5,10.5,44.96703297
116,Dr,Driver,5/31/2024 1:06,127.5,3,16.3,4716,1658,4999,182.4,196.7,48.9,32.2,45.8,82.25806452,80.61290323,,4.3,3.6,3,10.5,49.99215686
117,Dr,Driver,5/31/2024 1:07,118.6,-5.9,14.8,4298,1051,4425,172.4,187.2,5.3,25.4,40.8,76.51612903,74.98580645,,2.8,-7.08,-5.9,10.5,45.10118044
118,3w,FW,5/31/2024 1:08,129.7,-10,5.8,1533,608,1649,150.4,186.9,-12.9,5.4,10.9,89.44827586,87.65931034,,-1.2,-12,-10,15,16.5073246
119,3w,FW,5/31/2024 1:09,138.7,-2.1,14,2890,-444,2924,223,242.7,-24.7,31.8,40.7,95.65517241,93.74206897,,7,-2.52,-2.1,15,17.63518385
120,3w,FW,5/31/2024 1:10,136.5,3.4,20.6,3385,-1295,3624,208.5,225.1,-28.4,44.9,50,94.13793103,92.25517241,,13.6,4.08,3.4,15,15.31135531
121,3w,FW,5/31/2024 1:10,136.5,3.4,21.5,3715,509,3750,209.7,225.7,33.8,49.5,51.5,94.13793103,92.25517241,,14.5,4.08,3.4,15,30.94505495
1,Dr,Driver,6/2/2024 6:36,118.6,8.7,29.2,2831,828,2950,180.2,186,52,48.6,52.8,76.51612903,74.98580645,,17.2,10.44,8.7,10.5,30.85160202
2,Dr,Driver,6/2/2024 6:38,136.5,-1.7,23.2,2803,510,2849,221.7,240.3,15.8,51.2,50.5,88.06451613,86.30322581,,11.2,-2.04,-1.7,10.5,24.27106227
3,Dr,Driver,6/2/2024 6:38,136.5,0.4,24.3,2964,988,3124,213.7,231,40.8,52.1,51.9,88.06451613,86.30322581,,12.3,0.48,0.4,10.5,28.95238095
4,Dr,Driver,6/2/2024 6:39,129.7,-7.9,18.9,3290,-251,3300,206.8,224.5,-40.1,39,46.4,83.67741935,82.00387097,,6.9,-9.48,-7.9,10.5,23.4309946
5,Dr,Driver,6/2/2024 6:39,129.7,1.7,26.8,2442,1027,2649,206.1,224.5,50,51,51.7,83.67741935,82.00387097,,14.8,2.04,1.7,10.5,26.7463377
6,Dr,Driver,6/2/2024 6:40,140.9,-4.7,18.4,4530,798,4600,211.6,226.3,5,46.2,50.7,90.90322581,89.08516129,,6.4,-5.64,-4.7,10.5,37.81405252
7,Dr,Driver,6/2/2024 6:41,134.2,-4.3,22,3731,574,3775,206.9,222.7,2.2,48.7,51.2,86.58064516,84.84903226,,10,-5.16,-4.3,10.5,32.07898659
8,Dr,Driver,6/2/2024 6:41,138.7,-0.7,21.5,3871,-170,3875,213.8,229.9,-8.7,51.3,51.5,89.48387097,87.69419355,,9.5,-0.84,-0.7,10.5,26.68348955
9,Dr,Driver,6/2/2024 6:42,138.7,1.7,20.6,3990,1139,4149,208.6,224.3,42.3,47.5,51.2,89.48387097,87.69419355,,8.6,2.04,1.7,10.5,36.97909156
10,Dr,Driver,6/2/2024 6:44,127.5,1.5,21.7,3433,1378,3699,192,208.2,46.3,40.5,48.9,82.25806452,80.61290323,,9.7,1.8,1.5,10.5,37.73333333
11,3w,FW,6/2/2024 6:45,134.2,1.9,20.3,2535,447,2574,222.4,242.1,28.8,42.1,46.1,92.55172414,90.70068966,,13.3,2.28,1.9,15,22.22056632
12,3w,FW,6/2/2024 6:46,138.7,0.1,16.7,4415,728,4475,208.4,223.3,21.6,40.6,48.2,95.65517241,93.74206897,,9.7,0.12,0.1,15,37.08002884
13,3w,FW,6/2/2024 6:47,123,-6.6,16.9,3048,99,3050,196.6,215.1,-23.1,30.8,41.6,84.82758621,83.13103448,,9.9,-7.92,-6.6,15,25.58536585
14,3w,FW,6/2/2024 6:48,127.5,6.7,20.8,2816,787,2924,205.8,222.7,54,40,46.6,87.93103448,86.17241379,,13.8,8.04,6.7,15,28.25882353
15,3w,FW,6/2/2024 6:48,120.8,2.3,29,5323,-145,5325,163.8,175.6,3.3,51.7,55.6,83.31034483,81.64413793,,22,2.76,2.3,15,42.86423841
16,3h,Hybrid,6/2/2024 6:51,114.1,2.5,17.4,3098,1205,3324,170.4,187.9,37.5,25,39.3,84.51851852,82.82814815,,12.4,3,2.5,19,37.71253287
17,3h,Hybrid,6/2/2024 6:52,123,-0.7,14.1,5003,-465,5025,179.6,194.1,-13.4,27.7,42.5,91.11111111,89.28888889,,9.1,-0.84,-0.7,19,36.89430894
18,3h,Hybrid,6/2/2024 6:52,109.6,-1.7,15.9,2873,-769,2974,163.2,182,-26,20.7,35.1,81.18518519,79.56148148,,10.9,-2.04,-1.7,19,19.19708029
19,3h,Hybrid,6/2/2024 6:53,114.1,3.1,21.3,3067,594,3124,174.7,192.1,26.1,32.2,44.4,84.51851852,82.82814815,,16.3,3.72,3.1,19,32.08588957
20,3h,Hybrid,6/2/2024 6:53,105.1,2,17.4,2915,448,2949,152.1,167.4,14.7,20.4,35.8,77.85185185,76.29481481,,12.4,2.4,2,19,31.99809705
21,3h,Hybrid,6/2/2024 6:53,123,-3.4,15.1,914,140,925,186.7,221.3,-7.5,16.1,23,91.11111111,89.28888889,,10.1,-4.08,-3.4,19,8.569105691
22,3h,Hybrid,6/2/2024 6:55,116.3,3.9,19.6,4638,584,4675,168.2,176.8,22.2,32.3,46.3,86.14814815,84.42518519,,14.6,4.68,3.9,19,44.9011178
23,3h,Hybrid,6/2/2024 6:55,123,3.9,18.3,174,97,199,138.7,189.6,3.4,11.9,19.9,91.11111111,89.28888889,,13.3,4.68,3.9,19,2.203252033
24,3h,Hybrid,6/2/2024 6:56,116.3,-0.3,19.9,2618,657,2699,182.3,201.7,19.4,30.3,41.8,86.14814815,84.42518519,,14.9,-0.36,-0.3,19,28.15993121
25,4h,Hybrid,6/2/2024 6:57,111.8,4,17,2499,-879,2649,169.1,188.3,-13.6,22.4,35.9,82.81481481,81.15851852,,12,4.8,4,22,14.490161
26,4h,Hybrid,6/2/2024 6:58,111.8,4.9,18,2649,28,2649,172.2,191,15.9,24.9,38.1,82.81481481,81.15851852,,13,5.88,4.9,22,23.94454383
27,4h,Hybrid,6/2/2024 6:58,129.7,0.7,17.7,5218,256,5224,188,201.2,7,37.9,48.5,96.07407407,94.15259259,,12.7,0.84,0.7,22,42.20508867
28,4h,Hybrid,6/2/2024 7:00,116.3,4.1,14.3,3942,-1125,4099,169.2,184.9,-12.1,22.6,37.9,86.14814815,84.42518519,,9.3,4.92,4.1,22,24.22184007
29,4h,Hybrid,6/2/2024 7:01,123,-4.4,5.5,2929,-1464,3274,143.7,169.2,-41.2,6.7,15.9,91.11111111,89.28888889,,0.5,-5.28,-4.4,22,11.91056911
30,4h,Hybrid,6/2/2024 7:01,127.5,-0.9,14.9,3211,-860,3324,199.2,217,-32.8,28.6,40.2,94.44444444,92.55555556,,9.9,-1.08,-0.9,22,18.43921569
31,4h,Hybrid,6/2/2024 7:02,105.1,3,18.7,3083,1103,3274,153.4,170.4,31.7,22.8,38.5,77.85185185,76.29481481,,13.7,3.6,3,22,39.82873454
32,4h,Hybrid,6/2/2024 7:02,116.3,-0.7,15.1,1993,-2105,2899,151.8,168.5,-47.5,15.8,29.3,86.14814815,84.42518519,,10.1,-0.84,-0.7,22,-0.963026655
33,5h,Hybrid,6/2/2024 7:03,120.8,3.8,21.4,3157,957,3299,187,204.2,41.4,36.7,46.6,89.48148148,87.69185185,,16.4,4.56,3.8,25,34.05629139
34,5h,Hybrid,6/2/2024 7:04,114.1,5.5,24.6,3461,787,3549,169.5,185.4,36.6,37.8,48.8,84.51851852,82.82814815,,19.6,6.6,5.5,25,37.23049956
35,5h,Hybrid,6/2/2024 7:04,127.5,-1.2,17,3447,-434,3474,197.8,215.3,-19.7,33.2,43.7,94.44444444,92.55555556,,12,-1.44,-1.2,25,23.63137255
36,5h,Hybrid,6/2/2024 7:05,105.1,1.1,16.5,2520,-1847,3124,142.2,161.7,-34.1,16.7,32.2,77.85185185,76.29481481,,11.5,1.32,1.1,25,6.403425309
37,5h,Hybrid,6/2/2024 7:05,127.5,-1.4,17.7,3471,-152,3474,197.7,214.9,-11.6,34.6,44.5,94.44444444,92.55555556,,12.7,-1.68,-1.4,25,26.03137255
38,5h,Hybrid,6/2/2024 7:06,111.8,-1.1,19.7,4280,903,4374,160.8,175.8,13.1,29.1,44.5,82.81481481,81.15851852,,14.7,-1.32,-1.1,25,46.35957066
39,5h,Hybrid,6/2/2024 7:07,125.3,-5.3,14.1,3612,-1596,3949,184.8,191,-54.6,25,39,92.81481481,90.95851852,,9.1,-6.36,-5.3,25,16.08938547
40,5h,Hybrid,6/2/2024 7:07,105.1,5.9,20.2,4141,271,4150,148.7,162.6,20.5,25.7,42.7,77.85185185,76.29481481,,15.2,7.08,5.9,25,41.97906755
41,5h,Hybrid,6/2/2024 7:08,114.1,3.8,10.2,1863,-727,2000,149,176.4,-9.3,10.1,20,84.51851852,82.82814815,,5.2,4.56,3.8,25,9.956178791
42,5h,Hybrid,6/2/2024 7:08,109.6,1.4,20.3,4399,-23,4399,159.4,173.7,2.5,29.9,45.1,81.18518519,79.56148148,,15.3,1.68,1.4,25,39.9270073
43,5h,Hybrid,6/2/2024 7:09,116.3,3.1,20.1,3770,-186,3775,174,189.7,4.4,32.5,45.3,86.14814815,84.42518519,,15.1,3.72,3.1,25,30.81685297
44,5h,Hybrid,6/2/2024 7:09,100.7,6.6,20.7,2982,-326,3000,149.4,166,10.9,24,39.9,74.59259259,73.10074074,,15.7,7.92,6.6,25,26.37537239
45,5h,Hybrid,6/2/2024 7:10,118.6,4,22.3,2747,392,2775,187.9,206.4,26.9,36.8,45.9,87.85185185,86.09481481,,17.3,4.8,4,25,26.46711636
46,5w,FW,6/2/2024 7:12,120.8,6.5,22.6,3144,717,3225,185.7,203.6,43.9,38.5,47.6,83.31034483,81.64413793,,15.6,7.8,6.5,19,31.96192053
47,5w,FW,6/2/2024 7:12,134.2,5.2,15.4,4940,2053,5350,191.4,196.5,57.3,33.5,46.3,92.55172414,90.70068966,,8.4,6.24,5.2,19,52.10879285
48,5w,FW,6/2/2024 7:13,138.7,-0.4,17.3,4224,46,4224,210.7,226.2,-1.7,41.9,48.4,95.65517241,93.74206897,,10.3,-0.48,-0.4,19,30.78586878
49,5w,FW,6/2/2024 7:14,136.5,-1.9,20.5,3149,51,3149,220.3,238.1,-7.3,46.5,48.9,94.13793103,92.25517241,,13.5,-2.28,-1.9,19,23.44322344
50,5w,FW,6/2/2024 7:14,136.5,-1.1,21.8,2869,685,2950,220.9,239.3,23.4,47.8,49.4,94.13793103,92.25517241,,14.8,-1.32,-1.1,19,26.03663004
51,5w,FW,6/2/2024 7:15,132,0.3,18.6,3951,1269,4150,196.9,212.8,35.5,38.4,47.7,91.03448276,89.2137931,,11.6,0.36,0.3,19,39.54545455
52,5w,FW,6/2/2024 7:17,138.7,-3.8,17.7,3215,621,3274,220.7,238.8,6.9,40.6,46.4,95.65517241,93.74206897,,10.7,-4.56,-3.8,19,27.65681327
53,5w,FW,6/2/2024 7:18,132,2.2,19.9,4099,44,4099,201.8,217.1,8.2,43.7,49.6,91.03448276,89.2137931,,12.9,2.64,2.2,19,31.38636364
54,5w,FW,6/2/2024 7:18,129.7,-0.2,25.1,2519,529,2574,214.1,232.8,21.5,50.6,50.5,89.44827586,87.65931034,,18.1,-0.24,-0.2,19,23.50038551
55,5w,FW,6/2/2024 7:19,132,2,20.2,3747,143,3750,203.6,219.5,11,43.3,49.1,91.03448276,89.2137931,,13.2,2.4,2,19,29.46969697
56,5w,FW,6/2/2024 7:20,125.3,-12.2,12.8,3923,-1005,4050,186.2,192.3,-64.2,24.3,38.5,86.4137931,84.68551724,,5.8,-14.64,-12.2,19,23.28810854
57,Dr,Driver,6/2/2024 7:22,132,-6.6,12.6,4090,698,4149,199.3,215.3,-7.1,27.9,40.8,85.16129032,83.45806452,,0.6,-7.92,-6.6,10.5,36.27272727
58,Dr,Driver,6/2/2024 7:23,127.5,6.7,24.9,2627,1038,2825,203.6,210.4,60,46.9,50.3,82.25806452,80.61290323,,12.9,8.04,6.7,10.5,28.74509804
