,Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec),ï»¿Shot Number
81,84.0,Dr,FW,03/23/2025 20:29:07,131.2,1.7,16.2,2525,504,2575,214.8,231.3,24.8,31.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,86.0,Dr,FW,03/23/2025 20:29:07,128.5,-2.4,13.5,1030,-750,1274,186.8,201.7,-33.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,87.0,Dr,FW,03/23/2025 20:29:07,131.9,1.4,16.8,3337,874,3450,205.7,209.6,30.4,34.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,88.0,Dr,FW,03/23/2025 20:29:07,127.0,-7.0,13.4,2096,348,2125,204.2,212.4,-12.4,22.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,90.0,Dr,FW,03/23/2025 20:29:06,134.6,-3.5,14.8,1310,-779,1524,216.1,226.7,-46.1,21.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86,93.0,Dr,FW,03/23/2025 20:29:07,127.5,1.8,16.9,2303,579,2375,208.8,224.5,27.7,30.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,94.0,Dr,FW,03/23/2025 20:29:07,130.7,-0.9,17.0,1838,202,1849,224.5,243.9,5.9,30.4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,95.0,Dr,FW,03/23/2025 20:29:07,130.3,-2.6,14.3,2403,686,2499,209.0,227.6,14.4,26.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,96.0,Dr,FW,03/23/2025 20:29:06,131.5,-2.1,16.7,1713,-197,1724,227.3,233.5,-17.7,29.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
90,97.0,Dr,FW,03/23/2025 20:29:07,130.2,-1.9,17.1,1959,247,1975,222.0,238.3,3.5,31.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,1.0,8i,Iron,06/13/2024 23:43:56,60.4,-3.0,26.0,2280,-300,2300,61.9,75.4,-5.7,9.1,33.1,,,,,,,,,,,,
92,2.0,8i,Iron,06/13/2024 23:44:24,55.9,-2.4,21.5,1817,-1410,2300,49.7,64.5,-8.6,5.6,25.9,,,,,,,,,,,,
93,3.0,8i,Iron,06/13/2024 23:44:42,73.8,0.8,25.8,4020,-197,4025,90.4,102.5,0.0,15.7,39.6,,,,,,,,,,,,
94,4.0,8i,Iron,06/13/2024 23:45:00,76.1,3.3,33.0,3332,346,3350,94.2,106.0,9.6,22.3,47.2,,,,,,,,,,,,
95,5.0,8i,Iron,06/13/2024 23:45:15,87.2,-6.1,23.5,4019,-1128,4174,116.3,129.6,-27.1,20.4,41.4,,,,,,,,,,,,
96,6.0,8i,Iron,06/13/2024 23:45:36,78.3,5.4,33.4,4270,-186,4274,98.2,109.4,8.9,25.1,49.5,,,,,,,,,,,,
97,7.0,8i,Iron,06/13/2024 23:45:50,85.0,-1.3,27.0,4269,-209,4274,109.9,121.7,-4.9,22.4,44.6,,,,,,,,,,,,
98,8.0,8i,Iron,06/13/2024 23:46:11,78.3,0.0,24.0,5055,-442,5074,97.3,108.8,-3.3,16.7,40.0,,,,,,,,,,,,
99,9.0,8i,Iron,06/13/2024 23:46:24,82.8,6.7,25.2,6822,-186,6825,103.7,112.9,12.2,20.6,44.1,,,,,,,,,,,,
100,10.0,8i,Iron,06/13/2024 23:47:01,80.5,3.6,31.6,2949,-32,2949,107.6,121.6,7.3,24.9,46.9,,,,,,,,,,,,
101,11.0,8i,Iron,06/13/2024 23:47:32,80.5,-6.6,24.6,4419,-1081,4549,100.7,112.6,-22.3,17.7,40.6,,,,,,,,,,,,
102,12.0,8i,Iron,06/13/2024 23:48:23,82.8,5.0,34.7,2899,-47,2899,111.0,124.2,10.4,29.5,50.1,,,,,,,,,,,,
103,13.0,8i,Iron,06/13/2024 23:48:40,76.1,0.9,24.2,3569,-1150,3750,92.0,104.5,-7.9,14.7,37.4,,,,,,,,,,,,
104,14.0,3h,Hybrid,06/13/2024 23:49:48,102.9,6.2,21.8,2303,577,2374,157.9,177.1,35.8,25.8,40.0,,,,,,,,,,,,
105,15.0,3h,Hybrid,06/13/2024 23:50:12,111.8,5.5,13.6,3636,682,3699,157.0,174.1,30.8,18.5,34.1,,,,,,,,,,,,
106,16.0,3h,Hybrid,06/13/2024 23:50:30,109.6,1.8,15.6,3400,-411,3425,160.0,176.9,-3.7,21.1,36.5,,,,,,,,,,,,
107,17.0,3h,Hybrid,06/13/2024 23:51:05,111.8,6.5,21.4,2564,762,2675,173.9,192.8,45.5,30.4,42.5,,,,,,,,,,,,
108,18.0,3h,Hybrid,06/13/2024 23:51:29,109.6,0.3,15.2,3000,0,3000,159.8,178.3,1.1,19.7,34.3,,,,,,,,,,,,
109,19.0,3h,Hybrid,06/13/2024 23:51:54,111.8,4.5,17.8,2949,16,2949,168.7,186.8,15.2,25.0,38.9,,,,,,,,,,,,
110,20.0,3w,FW,06/13/2024 23:54:03,116.3,2.7,25.8,4997,881,5074,161.6,174.2,24.6,42.3,52.6,,,,,,,,,,,,
111,21.0,3w,FW,06/13/2024 23:54:30,120.8,-2.5,23.4,3534,-328,3549,182.7,198.4,-18.0,41.3,49.5,,,,,,,,,,,,
112,22.0,3w,FW,06/13/2024 23:55:05,120.8,7.3,23.4,5497,2526,6050,163.7,168.1,58.5,39.8,52.2,,,,,,,,,,,,
113,23.0,3w,FW,06/13/2024 23:55:52,127.5,2.5,23.7,5426,1975,5774,175.7,187.7,46.3,46.1,53.8,,,,,,,,,,,,
114,24.0,3w,FW,06/13/2024 23:56:44,129.7,-3.0,20.4,3159,311,3174,205.4,222.6,0.4,41.4,47.6,,,,,,,,,,,,
115,25.0,3w,FW,06/13/2024 23:57:50,125.3,-0.2,19.8,5252,2519,5825,173.7,186.5,45.4,36.5,49.7,,,,,,,,,,,,
116,26.0,3w,FW,06/13/2024 23:58:13,114.1,-4.1,23.4,4907,1291,5074,158.3,171.2,10.3,36.1,49.8,,,,,,,,,,,,
117,27.0,3w,FW,06/13/2024 23:58:43,129.7,2.2,21.1,4681,1447,4900,187.2,200.9,41.9,43.2,51.3,,,,,,,,,,,,
118,28.0,3w,FW,06/13/2024 23:59:21,129.7,-0.7,21.5,3369,615,3425,202.7,219.6,18.6,44.1,49.4,,,,,,,,,,,,
119,29.0,3w,FW,06/13/2024 23:59:48,123.0,4.1,27.1,6722,2971,7349,156.6,160.2,48.5,47.2,56.1,,,,,,,,,,,,
120,30.0,Dr,Driver,06/14/2024 00:01:31,129.7,0.3,24.1,2549,625,2625,211.9,230.1,28.6,47.9,49.7,,,,,,,,,,,,
121,31.0,Dr,Driver,06/14/2024 00:02:23,120.8,-3.7,26.3,3374,55,3374,183.0,198.8,-11.4,46.9,51.8,,,,,,,,,,,,
122,32.0,Dr,Driver,06/14/2024 00:02:52,125.3,1.3,27.8,1791,554,1875,212.9,233.6,35.8,50.0,49.6,,,,,,,,,,,,
123,33.0,Dr,Driver,06/14/2024 00:03:45,127.5,5.3,26.7,2493,896,2649,202.2,215.3,55.3,50.1,51.5,,,,,,,,,,,,
124,34.0,Dr,Driver,06/14/2024 00:04:04,120.8,2.6,27.8,1911,1089,2200,192.4,206.1,53.3,44.3,49.3,,,,,,,,,,,,
125,35.0,Dr,Driver,06/14/2024 00:04:54,127.5,-2.8,20.9,3816,915,3924,192.6,208.1,16.2,41.3,49.3,,,,,,,,,,,,
126,36.0,Dr,Driver,06/14/2024 00:05:26,134.2,-4.4,21.1,3072,-134,3075,216.8,234.6,-23.5,46.5,48.9,,,,,,,,,,,,
127,37.0,Dr,Driver,06/14/2024 00:07:01,123.0,-1.5,24.2,2001,443,2049,206.9,227.9,15.8,41.9,46.3,,,,,,,,,,,,
128,38.0,Dr,Driver,06/14/2024 00:07:52,123.0,-0.3,27.5,3069,184,3075,188.0,204.7,5.2,50.0,52.5,,,,,,,,,,,,
129,39.0,Dr,Driver,06/14/2024 00:08:33,125.3,5.3,29.1,2504,865,2649,198.3,212.6,53.6,54.4,53.5,,,,,,,,,,,,
130,40.0,Dr,Driver,06/14/2024 00:09:26,125.3,-0.1,21.4,5729,2093,6099,173.4,185.5,37.2,41.1,51.9,,,,,,,,,,,,
131,41.0,Dr,Driver,06/14/2024 00:11:01,132.0,1.4,14.6,3679,1691,4049,194.9,211.8,51.7,29.1,41.8,,,,,,,,,,,,
132,42.0,Dr,Driver,06/14/2024 00:11:51,129.7,-3.5,17.2,2924,15,2924,211.3,230.5,-13.6,35.2,43.4,,,,,,,,,,,,
133,43.0,Dr,Driver,06/14/2024 00:14:22,120.8,7.9,26.2,4480,1856,4849,168.9,173.6,58.2,44.8,53.5,,,,,,,,,,,,
134,44.0,Dr,Driver,06/14/2024 00:15:42,132.0,-1.8,16.5,3563,996,3700,201.8,218.8,24.5,34.3,44.7,,,,,,,,,,,,
135,45.0,Dr,Driver,06/14/2024 00:17:17,138.7,-5.0,12.3,3788,-289,3799,215.7,232.8,-30.2,30.9,41.8,,,,,,,,,,,,
136,46.0,Dr,Driver,06/14/2024 00:17:47,138.7,-3.0,19.1,3124,-34,3124,225.7,243.2,-14.1,45.4,48.2,,,,,,,,,,,,
137,47.0,Dr,Driver,06/14/2024 00:19:19,125.3,-4.4,20.0,6025,2156,6399,172.9,184.6,16.8,38.7,50.9,,,,,,,,,,,,
138,48.0,Dr,Driver,06/14/2024 00:20:14,129.7,-1.8,23.0,2841,217,2849,207.6,226.9,-5.3,45.9,49.2,,,,,,,,,,,,
139,49.0,Dr,Driver,06/14/2024 00:20:47,134.2,-3.2,21.9,3280,541,3324,212.3,229.2,0.5,48.4,50.5,,,,,,,,,,,,
140,50.0,Dr,Driver,06/14/2024 00:21:16,132.0,5.3,24.1,2492,1162,2750,211.0,217.6,57.6,47.3,50.1,,,,,,,,,,,,
141,51.0,Dr,Driver,06/14/2024 00:22:05,129.7,-6.5,21.1,3477,715,3550,202.2,218.5,-7.7,43.7,49.4,,,,,,,,,,,,
142,52.0,Dr,Driver,06/14/2024 00:22:39,125.3,3.1,24.8,2094,749,2224,208.4,228.3,41.0,44.5,48.0,,,,,,,,,,,,
143,53.0,Dr,Driver,06/14/2024 00:23:00,134.2,-1.3,14.3,5039,1059,5149,194.6,208.7,13.8,33.3,45.5,,,,,,,,,,,,
144,54.0,Dr,Driver,06/14/2024 00:23:29,134.2,-1.0,24.8,2926,370,2949,215.6,233.3,4.6,54.4,52.1,,,,,,,,,,,,
145,55.0,Dr,Driver,06/14/2024 00:23:54,132.0,2.9,12.1,4122,2203,4674,186.9,199.4,52.2,24.1,39.1,,,,,,,,,,,,
146,56.0,Dr,Driver,06/14/2024 00:24:21,140.9,0.5,24.1,2561,266,2575,233.6,252.9,8.0,56.3,51.3,,,,,,,,,,,,
147,57.0,Dr,Driver,06/14/2024 00:25:49,138.7,0.2,18.1,2946,144,2950,228.7,247.5,-0.3,42.7,46.6,,,,,,,,,,,,
148,58.0,Dr,Driver,06/14/2024 00:26:40,136.5,-1.5,22.1,2483,285,2499,229.3,249.3,0.0,48.6,48.6,,,,,,,,,,,,
149,59.0,Dr,Driver,06/14/2024 00:27:47,136.5,-8.3,20.6,2523,-82,2524,230.1,249.6,-48.0,45.5,47.2,,,,,,,,,,,,
150,60.0,Dr,Driver,06/14/2024 00:28:11,127.5,-3.6,21.5,4481,1332,4675,184.2,198.0,12.9,42.0,50.8,,,,,,,,,,,,
151,61.0,Dr,Driver,06/14/2024 00:28:36,140.9,-6.4,21.7,2325,0,2325,242.2,263.1,-37.8,50.4,48.2,,,,,,,,,,,,
152,62.0,Dr,Driver,06/14/2024 00:29:35,129.7,1.1,24.9,1813,475,1874,225.3,247.0,25.1,47.3,47.4,,,,,,,,,,,,
153,63.0,Dr,Driver,06/14/2024 00:30:08,138.7,-5.9,20.1,3502,-716,3574,215.6,227.6,-55.5,46.6,49.9,,,,,,,,,,,,
154,64.0,Dr,Driver,06/14/2024 00:30:40,132.0,-1.1,24.1,2231,812,2374,216.6,236.3,27.5,46.9,48.8,,,,,,,,,,,,
155,65.0,Dr,Driver,06/14/2024 00:31:08,134.2,-3.6,20.2,2694,551,2750,221.4,240.5,2.0,43.2,47.0,,,,,,,,,,,,
156,66.0,Dr,Driver,06/14/2024 00:31:33,134.2,-6.4,22.1,2994,-179,2999,214.7,232.5,-40.5,47.7,49.7,,,,,,,,,,,,
157,67.0,Dr,Driver,06/14/2024 00:32:01,134.2,-5.4,17.4,3547,136,3550,209.2,226.4,-24.0,38.5,46.3,,,,,,,,,,,,
158,1.0,SW,Wedge,03/17/2025 21:30:05,81.7,5.7,39.9,6399,-69,6399,93.5,95.2,9.0,33.3,56.6,,,,,,,,,,,,
159,2.0,SW,Wedge,03/17/2025 21:30:28,78.1,5.2,35.3,7219,-1237,7324,91.4,92.6,2.7,26.7,52.7,,,,,,,,,,,,
160,3.0,SW,Wedge,03/17/2025 21:30:52,73.0,7.5,34.3,8387,-460,8400,83.2,88.8,9.7,22.6,50.9,,,,,,,,,,,,
161,4.0,PW,Wedge,03/17/2025 21:31:37,81.7,5.1,32.3,7024,-38,7024,99.5,101.5,8.9,26.6,50.9,,,,,,,,,,,,
162,5.0,PW,Wedge,03/17/2025 21:31:55,77.0,5.0,29.2,7770,-254,7774,92.2,93.8,7.1,20.9,46.9,,,,,,,,,,,,
163,6.0,PW,Wedge,03/17/2025 21:32:13,79.5,5.9,34.1,6250,0,6250,95.9,98.3,10.2,26.6,51.5,,,,,,,,,,,,
164,7.0,PW,Wedge,03/17/2025 21:32:33,83.4,5.3,34.3,6799,-74,6799,100.9,102.7,9.0,29.6,52.9,,,,,,,,,,,,
165,8.0,PW,Wedge,03/17/2025 21:32:52,85.8,4.0,33.6,6948,151,6950,104.8,106.4,8.3,30.7,53.0,,,,,,,,,,,,
166,9.0,PW,Wedge,03/17/2025 21:33:21,77.8,10.2,40.3,2973,98,2975,96.2,109.2,20.4,30.5,54.0,,,,,,,,,,,,
167,10.0,PW,Wedge,03/17/2025 21:33:41,80.0,9.8,41.0,2494,163,2499,101.7,115.6,21.9,33.0,54.5,,,,,,,,,,,,
168,11.0,9i,Iron,03/17/2025 21:35:00,91.1,5.5,33.3,6278,1107,6375,114.1,121.6,14.9,34.1,53.7,,,,,,,,,,,,
169,12.0,9i,Iron,03/17/2025 21:35:19,94.2,4.0,30.1,7165,-1102,7249,120.0,122.0,-5.3,32.9,51.9,,,,,,,,,,,,
170,13.0,9i,Iron,03/17/2025 21:35:44,96.9,2.3,29.8,6308,-727,6350,126.6,129.1,-7.0,34.5,51.8,,,,,,,,,,,,
171,14.0,9i,Iron,03/17/2025 21:36:35,89.3,4.1,30.6,4959,-1074,5074,116.4,121.7,-1.7,29.6,50.2,,,,,,,,,,,,
172,15.0,9i,Iron,03/17/2025 21:37:03,97.0,7.3,28.9,8724,670,8750,121.6,128.2,21.5,34.0,52.8,,,,,,,,,,,,
173,16.0,9i,Iron,03/17/2025 21:37:23,77.5,5.3,26.9,4556,-1252,4725,95.9,108.2,0.3,18.3,42.3,,,,,,,,,,,,
174,17.0,9i,Iron,03/17/2025 21:37:51,86.8,3.4,29.3,5683,-874,5750,111.4,121.9,-0.5,26.7,48.8,,,,,,,,,,,,
175,18.0,9i,Iron,03/17/2025 21:38:20,85.0,6.4,29.1,6371,-208,6374,107.3,116.5,11.3,25.6,48.6,,,,,,,,,,,,
176,19.0,9i,Iron,03/17/2025 21:38:40,87.3,4.6,27.3,7586,-458,7600,109.9,117.6,6.2,25.5,48.3,,,,,,,,,,,,
177,20.0,5i,Iron,03/17/2025 21:40:33,113.3,1.7,20.5,2689,-1016,2875,174.6,194.4,-24.8,29.4,42.0,,,,,,,,,,,,
178,21.0,5i,Iron,03/17/2025 21:41:19,120.0,2.2,18.7,3548,-608,3600,184.1,201.8,-9.3,32.5,44.2,,,,,,,,,,,,
179,22.0,5i,Iron,03/17/2025 21:41:41,114.2,6.0,20.8,5269,-230,5274,163.0,174.0,14.3,33.9,47.9,,,,,,,,,,,,
180,23.0,5i,Iron,03/17/2025 21:42:37,105.7,1.8,18.9,2374,-1750,2949,148.9,169.3,-34.4,20.3,35.7,,,,,,,,,,,,
181,24.0,5i,Iron,03/17/2025 21:42:58,115.2,6.4,20.7,6224,-101,6225,160.6,172.2,17.6,34.9,49.0,,,,,,,,,,,,
182,25.0,5i,Iron,03/17/2025 21:43:27,109.2,2.7,20.3,2492,-1037,2699,166.2,186.4,-21.0,26.3,39.9,,,,,,,,,,,,
183,26.0,5i,Iron,03/17/2025 21:43:48,111.9,7.4,22.5,3948,-107,3949,166.1,181.9,20.9,34.5,47.2,,,,,,,,,,,,
184,27.0,5i,Iron,03/17/2025 21:44:10,116.4,4.6,20.3,3315,-254,3325,179.9,198.4,8.6,33.1,44.6,,,,,,,,,,,,
185,28.0,5i,Iron,03/17/2025 21:45:22,115.5,6.8,18.9,5223,142,5225,165.7,179.8,23.9,31.6,46.2,,,,,,,,,,,,
186,29.0,Dr,Driver,03/17/2025 21:49:24,130.6,9.2,17.8,2196,-762,2324,217.8,240.3,2.3,33.0,40.4,,,,,,,,,,,,
187,30.0,Dr,Driver,03/17/2025 21:50:41,138.7,4.5,13.9,2422,-106,2424,233.8,247.0,14.6,30.3,37.8,,,,,,,,,,,,
188,31.0,Dr,Driver,03/17/2025 21:51:19,135.3,4.2,14.6,1730,-494,1799,229.4,245.8,-7.6,25.9,32.8,,,,,,,,,,,,
189,32.0,Dr,Driver,03/17/2025 21:52:47,136.0,4.6,15.5,2028,-544,2100,231.5,244.1,-6.9,30.3,37.1,,,,,,,,,,,,
190,33.0,Dr,Driver,03/17/2025 21:53:19,134.4,5.4,15.6,1361,-628,1499,226.0,243.0,-11.1,24.5,30.7,,,,,,,,,,,,
191,34.0,Dr,Driver,03/17/2025 21:53:50,141.0,4.2,15.0,2049,-865,2224,236.6,261.4,-27.4,30.5,37.2,,,,,,,,,,,,
192,35.0,Dr,Driver,03/17/2025 21:54:25,137.0,2.7,16.4,2265,211,2275,235.3,258.9,23.6,34.8,40.4,,,,,,,,,,,,
193,36.0,Dr,Driver,03/17/2025 21:55:01,134.6,1.2,15.6,1204,-663,1374,222.8,254.6,-34.3,23.0,28.9,,,,,,,,,,,,
194,1.0,8i,Iron,06/12/2024 02:49:39,73.8,-3.2,30.1,3456,-359,3475,91.4,103.6,-9.1,18.9,43.5,,,,,,,,,,,,
195,2.0,8i,Iron,06/12/2024 02:49:56,78.3,-4.9,20.5,5824,31,5824,93.4,104.4,-8.9,13.4,35.8,,,,,,,,,,,,
205,12.0,3w,FW,06/12/2024 02:57:40,125.3,-0.5,17.5,116,-94,149,128.0,182.0,13.8,10.4,18.8,,,,,,,,,,,,
206,13.0,3w,FW,06/12/2024 02:58:06,100.7,-6.3,39.9,4887,-782,4949,119.5,129.8,-24.2,48.1,58.8,,,,,,,,,,,,
207,14.0,3w,FW,06/12/2024 02:58:34,94.0,-9.6,47.1,4752,-1085,4874,98.8,107.9,-28.7,49.5,62.5,,,,,,,,,,,,
208,15.0,3w,FW,06/12/2024 03:00:05,123.0,3.2,20.7,2368,718,2474,199.6,219.8,41.4,35.4,43.8,,,,,,,,,,,,
209,16.0,3w,FW,06/12/2024 03:01:03,129.7,-5.8,10.9,2294,-1054,2525,194.5,202.9,-53.1,17.7,28.6,,,,,,,,,,,,
210,17.0,3w,FW,06/12/2024 03:01:30,120.8,7.4,26.7,2834,1192,3074,184.6,190.8,59.1,45.2,51.4,,,,,,,,,,,,
211,18.0,3w,FW,06/12/2024 03:02:00,105.1,-5.1,38.1,5351,-1155,5474,127.0,137.3,-27.1,50.5,59.0,,,,,,,,,,,,
212,19.0,3w,FW,06/12/2024 03:02:28,100.7,1.3,35.9,4561,-348,4574,130.0,141.4,-1.9,45.1,56.6,,,,,,,,,,,,
213,20.0,Dr,Driver,06/12/2024 03:03:11,132.0,-0.3,19.2,2699,370,2724,217.9,237.2,14.9,40.0,45.5,,,,,,,,,,,,
214,21.0,Dr,Driver,06/12/2024 03:04:42,123.0,-5.3,21.1,3615,-660,3675,188.1,204.4,-38.1,39.0,48.2,,,,,,,,,,,,
215,22.0,Dr,Driver,06/12/2024 03:06:52,127.5,4.2,25.5,1840,715,1974,216.7,237.7,55.6,46.5,48.0,,,,,,,,,,,,
216,23.0,Dr,Driver,06/12/2024 03:07:19,134.2,-1.8,20.3,2372,365,2400,224.3,244.5,10.4,41.8,45.6,,,,,,,,,,,,
217,24.0,Dr,Driver,06/12/2024 03:08:14,129.7,-8.0,22.6,3490,-773,3575,197.9,209.5,-52.9,45.5,50.5,,,,,,,,,,,,
218,25.0,Dr,Driver,06/12/2024 03:08:42,125.3,-6.6,28.9,4295,-685,4349,178.0,191.7,-39.4,55.6,55.7,,,,,,,,,,,,
219,26.0,Dr,Driver,06/12/2024 03:09:14,127.5,-8.0,25.1,4499,-49,4499,183.4,196.3,-28.9,49.9,53.5,,,,,,,,,,,,
220,27.0,Dr,Driver,06/12/2024 03:10:13,132.0,0.1,22.2,2025,554,2099,224.9,246.5,30.5,43.2,45.8,,,,,,,,,,,,
221,28.0,Dr,Driver,06/12/2024 03:11:09,125.3,0.2,30.6,4097,134,4099,174.5,188.3,4.1,57.3,56.2,,,,,,,,,,,,
222,29.0,Dr,Driver,06/12/2024 03:12:20,132.0,-1.8,21.9,3844,484,3874,199.1,214.3,8.0,46.4,50.9,,,,,,,,,,,,
223,30.0,Dr,Driver,06/12/2024 03:12:44,127.5,-8.5,16.5,1144,-1609,1974,178.3,188.4,-75.6,19.0,29.2,,,,,,,,,,,,
224,31.0,Dr,Driver,06/12/2024 03:13:12,123.0,2.4,30.7,2479,594,2549,190.1,207.4,31.9,54.5,53.8,,,,,,,,,,,,
225,32.0,Dr,Driver,06/12/2024 03:13:43,136.5,-6.1,21.7,3707,365,3725,212.0,227.8,-11.6,50.7,51.6,,,,,,,,,,,,
226,33.0,Dr,Driver,06/12/2024 03:14:41,116.3,-6.1,26.4,3988,305,4000,169.7,183.8,-12.5,44.0,51.8,,,,,,,,,,,,
227,34.0,Dr,Driver,06/12/2024 03:15:11,143.2,-5.3,15.1,2903,-646,2974,231.7,251.0,-51.8,36.3,42.9,,,,,,,,,,,,
228,35.0,Dr,Driver,06/12/2024 03:18:55,132.0,-5.5,23.9,2842,201,2849,211.3,229.6,-13.7,49.6,50.5,,,,,,,,,,,,
229,36.0,Dr,Driver,06/12/2024 03:19:33,136.5,-2.3,20.6,2199,47,2200,236.7,258.0,-7.6,44.6,45.8,,,,,,,,,,,,
230,1.0,PW,Wedge,09/20/2024 04:13:55,81.0,-0.7,16.9,5674,-30,5674,95.6,109.2,-1.6,11.0,30.4,,,,,,,,,,,,
231,2.0,PW,Wedge,09/20/2024 04:15:29,84.8,-0.3,26.2,5194,-919,5275,110.6,121.0,-8.6,22.0,44.0,,,,,,,,,,,,
232,3.0,PW,Wedge,09/20/2024 04:16:08,81.3,4.4,28.1,5406,-683,5449,103.7,109.3,3.5,21.9,45.2,,,,,,,,,,,,
